Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,Inh_5,59,94,39,55,41.49
top 100 marker genes,Inh_Meis2_3,415,99,75,24,75.76
top 100 marker genes,Unk_2,173,95,36,59,37.89
top 100 marker genes,LowQ_2,143,89,29,60,32.58
top 100 marker genes,Nb_2,121,92,32,60,34.78
top 100 marker genes,Ext_L6,253,97,76,21,78.35
top 100 marker genes,Ext_L25,346,97,86,11,88.66
top 100 marker genes,Ext_Hpc_DG2,90,98,72,26,73.47
top 100 marker genes,Astro_STR,53,96,37,59,38.54
top 100 marker genes,Ext_Unk_2,68,95,39,56,41.05
top 100 marker genes,Inh_Vip,186,93,33,60,35.48
