Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,RGDG,57,95,79,16,83.16
top 100 marker genes,SCGLU1,180,96,70,26,72.92
top 100 marker genes,MEGLU11,9,92,92,0,100.0
top 100 marker genes,MEGLU9,22,94,83,11,88.3
top 100 marker genes,TEINH21,1355,94,22,72,23.4
top 100 marker genes,MSN4,343,97,43,54,44.33
top 100 marker genes,MEGLU10,19,90,84,6,93.33
top 100 marker genes,SEPNBL,365,94,42,52,44.68
top 100 marker genes,DEINH2,423,87,44,43,50.57
top 100 marker genes,TEGLU24,6189,93,40,53,43.01
top 100 marker genes,SCGLU2,115,94,78,16,82.98
top 100 marker genes,OPC,695,91,26,65,28.57
top 100 marker genes,SCINH9,91,91,71,20,78.02
top 100 marker genes,DEGLU3,7,85,73,12,85.88
top 100 marker genes,TEGLU8,334,96,44,52,45.83
top 100 marker genes,TEINH10,20,95,93,2,97.89
