Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,OBINH1,762,93,24,69,25.81
top 100 marker genes,TEGLU21,304,99,36,63,36.36
top 100 marker genes,HBGLU1,22,95,89,6,93.68
top 100 marker genes,COP2,88,92,69,23,75.0
top 100 marker genes,TEINH3,118,97,68,29,70.1
top 100 marker genes,OBDOP2,311,98,51,47,52.04
top 100 marker genes,OBINH2,62,92,56,36,60.87
top 100 marker genes,CHOR,67,87,66,21,75.86
top 100 marker genes,SCGLU2,75,94,70,24,74.47
top 100 marker genes,TEINH19,543,97,51,46,52.58
top 100 marker genes,VECV,155,91,34,57,37.36
top 100 marker genes,TEGLU18,11,88,85,3,96.59
top 100 marker genes,MSN3,34,96,76,20,79.17
