Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,TEGLU16,9,93,90,3,96.77
top 100 marker genes,TEINH14,27,98,73,25,74.49
top 100 marker genes,MSN6,64,95,68,27,71.58
top 100 marker genes,HBGLU3,68,96,73,23,76.04
top 100 marker genes,MEINH10,128,94,61,33,64.89
top 100 marker genes,SCINH6,9,97,91,6,93.81
top 100 marker genes,SYNOR2,40,95,79,16,83.16
top 100 marker genes,PSPEP1,50,89,66,23,74.16
top 100 marker genes,RGSZ,378,96,54,42,56.25
top 100 marker genes,DGNBL2,2380,96,54,42,56.25
top 100 marker genes,OBNBL1,37,90,77,13,85.56
top 100 marker genes,SATG1,7,94,89,5,94.68
top 100 marker genes,TEINH20,35,96,82,14,85.42
top 100 marker genes,CHOR,625,92,63,29,68.48
top 100 marker genes,ENTG7,247,94,51,43,54.26
top 100 marker genes,COP1,21,97,75,22,77.32
top 100 marker genes,MEINH5,7,96,92,4,95.83
top 100 marker genes,TEINH2,1337,95,32,63,33.68
