Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,MEGLU5,22,98,92,6,93.88
top 100 marker genes,OBNBL3,515,96,51,45,53.12
top 100 marker genes,CHOR,366,92,44,48,47.83
top 100 marker genes,ENTG7,61,94,78,16,82.98
top 100 marker genes,MEGLU14,23,97,88,9,90.72
top 100 marker genes,VSMCA,1291,96,9,87,9.38
top 100 marker genes,NFOL1,145,95,44,51,46.32
top 100 marker genes,OEC,460,97,18,79,18.56
top 100 marker genes,HBSER2,54,92,73,19,79.35
top 100 marker genes,MEINH7,8,94,89,5,94.68
top 100 marker genes,TEGLU17,15,94,89,5,94.68
top 100 marker genes,TECHO,51,96,85,11,88.54
top 100 marker genes,PSNP6,918,96,30,66,31.25
top 100 marker genes,HBCHO2,192,93,43,50,46.24
top 100 marker genes,OPC,1080,92,35,57,38.04
top 100 marker genes,MSN2,150,96,41,55,42.71
top 100 marker genes,HBGLU5,70,92,79,13,85.87
top 100 marker genes,HBSER4,62,100,73,27,73.0
top 100 marker genes,HYPEP8,546,97,27,70,27.84
top 100 marker genes,HBCHO1,758,98,15,83,15.31
top 100 marker genes,MOL3,264,92,29,63,31.52
top 100 marker genes,MEINH5,13,96,93,3,96.88
top 100 marker genes,ENTG1,13,98,80,18,81.63
top 100 marker genes,PSNP2,18,94,69,25,73.4
top 100 marker genes,PSNP3,44,95,82,13,86.32
top 100 marker genes,PSPEP4,12,97,84,13,86.6
top 100 marker genes,TEINH20,18,96,91,5,94.79
top 100 marker genes,TEINH10,50,95,83,12,87.37
top 100 marker genes,PSPEP2,10,93,90,3,96.77
top 100 marker genes,COP1,210,97,37,60,38.14
top 100 marker genes,HBINH2,258,95,46,49,48.42
top 100 marker genes,SCINH6,82,97,67,30,69.07
top 100 marker genes,OBINH5,12,98,91,7,92.86
top 100 marker genes,SCGLU9,6,94,92,2,97.87
top 100 marker genes,ENMFB,521,98,20,78,20.41
top 100 marker genes,TEINH13,7,98,97,1,98.98
top 100 marker genes,PSNP5,28,98,83,15,84.69
top 100 marker genes,ENT9,183,94,56,38,59.57
top 100 marker genes,SZNBL,683,93,50,43,53.76
top 100 marker genes,TEGLU12,64,95,87,8,91.58
top 100 marker genes,HBGLU1,728,97,39,58,40.21
top 100 marker genes,TEGLU22,11,97,94,3,96.91
top 100 marker genes,VECC,440,93,33,60,35.48
top 100 marker genes,VLMC2,1463,93,16,77,17.2
top 100 marker genes,ENT3,37,94,82,12,87.23
top 100 marker genes,SATG2,287,98,36,62,36.73
top 100 marker genes,EPSC,721,97,34,63,35.05
top 100 marker genes,SCINH7,59,91,70,21,76.92
top 100 marker genes,MOL2,156,97,34,63,35.05
top 100 marker genes,PSNF1,30,96,87,9,90.62
top 100 marker genes,ACBG,1186,97,27,70,27.84
top 100 marker genes,TEINH16,38,98,91,7,92.86
top 100 marker genes,DECHO1,51,91,78,13,85.71
top 100 marker genes,HBGLU6,58,97,81,16,83.51
top 100 marker genes,VECA,1175,94,21,73,22.34
top 100 marker genes,HYPEP5,47,95,78,17,82.11
top 100 marker genes,PSNF3,54,93,73,20,78.49
top 100 marker genes,MEINH13,84,97,73,24,75.26
top 100 marker genes,TEGLU11,10,93,89,4,95.7
top 100 marker genes,ENT1,296,94,35,59,37.23
top 100 marker genes,OBNBL2,377,96,47,49,48.96
top 100 marker genes,SCGLU5,32,96,84,12,87.5
top 100 marker genes,ACMB,261,92,40,52,43.48
top 100 marker genes,HYPEP2,14,96,93,3,96.88
top 100 marker genes,HBNOR,541,96,30,66,31.25
top 100 marker genes,ACNT1,898,96,35,61,36.46
top 100 marker genes,VLMC1,517,95,31,64,32.63
top 100 marker genes,OBNBL5,10,98,96,2,97.96
top 100 marker genes,SCGLU10,16,94,89,5,94.68
top 100 marker genes,ENTG2,59,98,58,40,59.18
top 100 marker genes,HYPEN,1265,100,26,74,26.0
top 100 marker genes,TEGLU15,19,93,84,9,90.32
top 100 marker genes,ABC,543,92,30,62,32.61
top 100 marker genes,HBINH1,3867,98,8,90,8.16
top 100 marker genes,HBINH6,127,97,68,29,70.1
top 100 marker genes,PER1,406,95,9,86,9.47
top 100 marker genes,MEINH14,60,99,77,22,77.78
top 100 marker genes,COP2,146,95,63,32,66.32
top 100 marker genes,PSPEP1,11,89,84,5,94.38
top 100 marker genes,MEINH11,9,98,96,2,97.96
top 100 marker genes,HYPEP6,94,90,63,27,70.0
top 100 marker genes,HBADR,151,94,60,34,63.83
top 100 marker genes,EPMB,461,95,31,64,32.63
top 100 marker genes,OBNBL1,189,90,54,36,60.0
top 100 marker genes,TEGLU4,261,92,51,41,55.43
top 100 marker genes,ENT7,109,98,76,22,77.55
top 100 marker genes,DEINH6,4621,95,5,90,5.26
top 100 marker genes,DEGLU3,186,95,62,33,65.26
top 100 marker genes,DEINH4,6,92,92,0,100.0
top 100 marker genes,HBINH5,72,95,75,20,78.95
top 100 marker genes,PSNP4,17,95,88,7,92.63
top 100 marker genes,TEINH12,101,97,70,27,72.16
top 100 marker genes,ENTG4,333,99,19,80,19.19
top 100 marker genes,ENT8,43,96,78,18,81.25
top 100 marker genes,HYPEP4,10,95,90,5,94.74
top 100 marker genes,DEGLU1,758,98,53,45,54.08
top 100 marker genes,DEGLU4,157,90,58,32,64.44
top 100 marker genes,NFOL2,713,98,33,65,33.67
top 100 marker genes,PSPEP8,17,95,80,15,84.21
top 100 marker genes,SATG1,598,94,24,70,25.53
top 100 marker genes,TEINH18,20,93,86,7,92.47
top 100 marker genes,VECV,896,95,9,86,9.47
top 100 marker genes,HBCHO3,36,92,84,8,91.3
top 100 marker genes,TEGLU20,54,95,63,32,66.32
top 100 marker genes,MGL3,487,96,30,66,31.25
top 100 marker genes,MEINH10,131,94,68,26,72.34
top 100 marker genes,TEGLU3,44,98,74,24,75.51
top 100 marker genes,HYPEP1,17,95,88,7,92.63
top 100 marker genes,TEINH21,50,95,82,13,86.32
top 100 marker genes,SCINH11,109,98,54,44,55.1
top 100 marker genes,HBINH7,218,90,36,54,40.0
top 100 marker genes,MEINH6,14,95,86,9,90.53
top 100 marker genes,MBCHO1,43,98,81,17,82.65
top 100 marker genes,HBGLU8,180,95,48,47,50.53
top 100 marker genes,PER2,126,91,59,32,64.84
top 100 marker genes,MFOL1,146,99,36,63,36.36
top 100 marker genes,TEGLU16,64,93,71,22,76.34
top 100 marker genes,HBSER5,39,94,79,15,84.04
top 100 marker genes,TEGLU23,110,95,65,30,68.42
top 100 marker genes,PSPEP5,6,94,93,1,98.94
top 100 marker genes,TEINH1,23,95,91,4,95.79
top 100 marker genes,HYPEP7,315,98,38,60,38.78
top 100 marker genes,HBGLU4,1171,95,16,79,16.84
top 100 marker genes,MGL1,765,99,17,82,17.17
top 100 marker genes,RGDG,58,97,78,19,80.41
top 100 marker genes,CBINH2,719,94,22,72,23.4
top 100 marker genes,ENT2,19,94,88,6,93.62
top 100 marker genes,CBPC,688,93,28,65,30.11
top 100 marker genes,TEINH17,11,96,90,6,93.75
top 100 marker genes,PSPEP3,24,95,77,18,81.05
top 100 marker genes,ACTE2,807,98,59,39,60.2
top 100 marker genes,PVM2,334,98,36,62,36.73
top 100 marker genes,MSN1,225,93,50,43,53.76
top 100 marker genes,SYCHO1,7,95,91,4,95.79
top 100 marker genes,DGNBL1,981,93,29,64,31.18
top 100 marker genes,PSNF2,47,93,79,14,84.95
top 100 marker genes,DGNBL2,434,96,53,43,55.21
top 100 marker genes,ACNT2,416,96,48,48,50.0
top 100 marker genes,TEGLU5,12,94,90,4,95.74
