Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,MSN1,165,92,52,40,56.52
top 100 marker genes,HBCHO3,131,89,65,24,73.03
top 100 marker genes,TEINH21,187,94,56,38,59.57
top 100 marker genes,MSN4,49,97,75,22,77.32
top 100 marker genes,VECA,151,90,47,43,52.22
top 100 marker genes,ENT5,199,96,55,41,57.29
top 100 marker genes,HBGLU6,190,97,72,25,74.23
top 100 marker genes,PER3,287,93,46,47,49.46
top 100 marker genes,DEINH5,202,96,55,41,57.29
top 100 marker genes,ACNT2,176,91,57,34,62.64
top 100 marker genes,MEINH4,143,93,66,27,70.97
top 100 marker genes,SYNOR5,34,91,82,9,90.11
top 100 marker genes,HBINH1,29,96,79,17,82.29
top 100 marker genes,PSPEP6,156,90,52,38,57.78
top 100 marker genes,PSNF3,63,89,69,20,77.53
top 100 marker genes,SCGLU10,164,93,72,21,77.42
top 100 marker genes,SCHW,106,96,64,32,66.67
top 100 marker genes,TEINH12,229,96,42,54,43.75
top 100 marker genes,DECHO1,111,87,58,29,66.67
top 100 marker genes,TEGLU14,67,96,63,33,65.62
top 100 marker genes,EPSC,178,94,21,73,22.34
top 100 marker genes,PSNP6,106,93,17,76,18.28
top 100 marker genes,DEGLU4,205,88,47,41,53.41
top 100 marker genes,TEGLU22,330,91,60,31,65.93
top 100 marker genes,TEINH20,226,96,44,52,45.83
top 100 marker genes,PSNP1,89,95,70,25,73.68
top 100 marker genes,MBDOP2,188,92,60,32,65.22
top 100 marker genes,PSPEP7,134,94,48,46,51.06
top 100 marker genes,TEINH2,335,90,51,39,56.67
top 100 marker genes,SYNOR3,8,94,92,2,97.87
top 100 marker genes,SYCHO1,87,91,60,31,65.93
top 100 marker genes,ENT8,147,97,55,42,56.7
top 100 marker genes,HBSER1,129,95,46,49,48.42
top 100 marker genes,PVM1,91,95,39,56,41.05
top 100 marker genes,MEGLU3,178,93,66,27,70.97
top 100 marker genes,MOL3,238,90,47,43,52.22
top 100 marker genes,DETPH,30,91,86,5,94.51
top 100 marker genes,ENMFB,149,93,53,40,56.99
top 100 marker genes,TECHO,129,94,74,20,78.72
top 100 marker genes,CBNBL1,69,94,78,16,82.98
top 100 marker genes,MSN6,516,93,51,42,54.84
top 100 marker genes,MGL1,149,96,38,58,39.58
top 100 marker genes,TEGLU7,223,95,47,48,49.47
top 100 marker genes,DEGLU3,108,85,53,32,62.35
top 100 marker genes,ENTG4,11,98,72,26,73.47
top 100 marker genes,ACBG,212,97,53,44,54.64
top 100 marker genes,HBGLU4,23,96,86,10,89.58
top 100 marker genes,HBGLU7,227,96,63,33,65.62
top 100 marker genes,HYPEP7,12,99,89,10,89.9
top 100 marker genes,TEINH14,379,97,47,50,48.45
top 100 marker genes,MEGLU14,138,96,65,31,67.71
top 100 marker genes,MEGLU9,272,94,43,51,45.74
top 100 marker genes,MEINH12,114,95,67,28,70.53
top 100 marker genes,HBGLU8,24,94,88,6,93.62
top 100 marker genes,SZNBL,161,91,39,52,42.86
top 100 marker genes,SCINH7,103,86,63,23,73.26
top 100 marker genes,TEGLU9,271,97,44,53,45.36
top 100 marker genes,VLMC2,310,90,52,38,57.78
top 100 marker genes,HBSER3,166,89,58,31,65.17
top 100 marker genes,MEINH13,53,93,71,22,76.34
top 100 marker genes,SCGLU1,106,96,70,26,72.92
top 100 marker genes,MEGLU5,217,95,39,56,41.05
top 100 marker genes,HBSER2,222,88,46,42,52.27
top 100 marker genes,OEC,51,97,40,57,41.24
top 100 marker genes,MOL2,105,93,55,38,59.14
top 100 marker genes,HBINH3,178,95,68,27,71.58
top 100 marker genes,OPC,198,91,64,27,70.33
top 100 marker genes,HBGLU10,92,96,71,25,73.96
top 100 marker genes,MEINH14,43,96,78,18,81.25
top 100 marker genes,TEGLU17,258,95,42,53,44.21
top 100 marker genes,TEGLU19,161,89,51,38,57.3
top 100 marker genes,HYPEP5,25,88,81,7,92.05
top 100 marker genes,PSPEP1,171,91,41,50,45.05
top 100 marker genes,DEGLU5,357,91,64,27,70.33
top 100 marker genes,PSPEP2,200,93,42,51,45.16
top 100 marker genes,SCINH2,175,97,71,26,73.2
top 100 marker genes,SCGLU3,153,95,50,45,52.63
top 100 marker genes,TEGLU13,220,98,58,40,59.18
top 100 marker genes,SATG1,59,93,59,34,63.44
top 100 marker genes,HBINH6,145,93,56,37,60.22
top 100 marker genes,SCINH4,59,96,75,21,78.12
top 100 marker genes,EPMB,183,92,42,50,45.65
top 100 marker genes,HBINH9,215,94,63,31,67.02
top 100 marker genes,MEGLU1,235,90,62,28,68.89
top 100 marker genes,TEINH16,296,94,55,39,58.51
top 100 marker genes,ENT3,212,92,55,37,59.78
top 100 marker genes,HBINH2,63,91,72,19,79.12
top 100 marker genes,CBPC,125,90,48,42,53.33
top 100 marker genes,TEINH8,205,91,48,43,52.75
top 100 marker genes,TEINH9,260,97,43,54,44.33
top 100 marker genes,TEINH4,174,94,54,40,57.45
top 100 marker genes,TEINH13,237,97,37,60,38.14
top 100 marker genes,OBNBL4,133,94,73,21,77.66
top 100 marker genes,TEGLU11,247,92,65,27,70.65
top 100 marker genes,ENTG3,152,95,30,65,31.58
top 100 marker genes,MEINH8,108,94,69,25,73.4
top 100 marker genes,ACOB,174,94,53,41,56.38
top 100 marker genes,CBINH2,43,93,78,15,83.87
top 100 marker genes,COP1,200,99,41,58,41.41
top 100 marker genes,NFOL2,229,93,44,49,47.31
top 100 marker genes,MSN2,159,95,36,59,37.89
top 100 marker genes,VECC,300,93,29,64,31.18
top 100 marker genes,SCINH5,97,94,63,31,67.02
top 100 marker genes,TEGLU21,140,99,51,48,51.52
