Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,HBINH3,35,95,84,11,88.42
top 100 marker genes,MBDOP2,292,92,55,37,59.78
top 100 marker genes,ENTG1,161,97,27,70,27.84
top 100 marker genes,MEGLU14,170,96,62,34,64.58
top 100 marker genes,ACTE1,1358,91,40,51,43.96
top 100 marker genes,MSN1,265,92,58,34,63.04
top 100 marker genes,MEGLU2,20,88,88,0,100.0
top 100 marker genes,MEGLU8,14,93,91,2,97.85
top 100 marker genes,SCINH7,7,86,82,4,95.35
top 100 marker genes,CBINH1,57,91,70,21,76.92
top 100 marker genes,TEINH17,78,92,80,12,86.96
top 100 marker genes,SCGLU10,32,93,85,8,91.4
top 100 marker genes,HBGLU1,66,95,79,16,83.16
top 100 marker genes,TEGLU9,144,97,62,35,63.92
top 100 marker genes,HBGLU6,37,97,94,3,96.91
top 100 marker genes,DECHO1,29,87,78,9,89.66
top 100 marker genes,ENT5,11,96,88,8,91.67
top 100 marker genes,TEINH21,267,94,51,43,54.26
top 100 marker genes,MEGLU6,47,98,81,17,82.65
top 100 marker genes,DGNBL2,164,97,52,45,53.61
top 100 marker genes,MBCHO1,23,97,89,8,91.75
top 100 marker genes,NFOL2,470,93,42,51,45.16
top 100 marker genes,HYPEP1,51,94,84,10,89.36
top 100 marker genes,MOL1,406,99,40,59,40.4
top 100 marker genes,PER3,297,93,33,60,35.48
top 100 marker genes,CHOR,382,87,29,58,33.33
top 100 marker genes,PSNP3,32,97,83,14,85.57
top 100 marker genes,HBSER1,20,95,76,19,80.0
top 100 marker genes,HBINH8,63,95,69,26,72.63
top 100 marker genes,HBGLU2,23,97,93,4,95.88
top 100 marker genes,DEGLU1,105,96,42,54,43.75
top 100 marker genes,HBGLU5,69,88,77,11,87.5
top 100 marker genes,EPEN,485,91,35,56,38.46
top 100 marker genes,HBCHO3,43,89,80,9,89.89
top 100 marker genes,VECA,500,90,29,61,32.22
top 100 marker genes,TEGLU10,264,96,63,33,65.62
top 100 marker genes,MEINH6,18,95,86,9,90.53
top 100 marker genes,MEGLU1,25,90,89,1,98.89
top 100 marker genes,TEGLU19,89,89,70,19,78.65
top 100 marker genes,DECHO2,28,93,83,10,89.25
top 100 marker genes,TEINH2,12,90,75,15,83.33
top 100 marker genes,HBINH9,8,94,88,6,93.62
top 100 marker genes,SYNOR3,39,94,76,18,80.85
top 100 marker genes,TEINH16,59,94,85,9,90.43
top 100 marker genes,PSNF1,29,93,86,7,92.47
top 100 marker genes,ABC,307,91,31,60,34.07
top 100 marker genes,OBDOP2,34,98,85,13,86.73
top 100 marker genes,OPC,206,91,50,41,54.95
top 100 marker genes,TEGLU18,102,88,72,16,81.82
top 100 marker genes,MSN4,162,97,63,34,64.95
top 100 marker genes,MEGLU5,23,95,81,14,85.26
top 100 marker genes,ENTG3,66,95,42,53,44.21
top 100 marker genes,SYNOR4,57,86,70,16,81.4
top 100 marker genes,DEGLU4,20,88,84,4,95.45
top 100 marker genes,EPMB,147,92,39,53,42.39
top 100 marker genes,SZNBL,115,91,44,47,48.35
top 100 marker genes,ENTG7,60,96,68,28,70.83
top 100 marker genes,TEINH14,19,97,84,13,86.6
top 100 marker genes,PSPEP2,11,93,88,5,94.62
top 100 marker genes,SCGLU5,139,94,56,38,59.57
top 100 marker genes,PSNF3,79,89,73,16,82.02
top 100 marker genes,MEINH12,15,95,92,3,96.84
top 100 marker genes,ENT3,10,92,91,1,98.91
top 100 marker genes,TEGLU5,122,94,71,23,75.53
top 100 marker genes,RGDG,304,95,33,62,34.74
top 100 marker genes,COP1,400,99,35,64,35.35
top 100 marker genes,DEINH2,15,87,81,6,93.1
top 100 marker genes,MEINH3,15,88,85,3,96.59
top 100 marker genes,OBNBL5,28,95,87,8,91.58
top 100 marker genes,SCINH1,22,95,82,13,86.32
top 100 marker genes,HYPEP5,30,88,79,9,89.77
top 100 marker genes,TEINH12,54,96,75,21,78.12
top 100 marker genes,MEGLU7,13,94,85,9,90.43
top 100 marker genes,SCGLU6,35,93,79,14,84.95
top 100 marker genes,SCINH5,13,94,89,5,94.68
top 100 marker genes,SCINH11,36,96,84,12,87.5
top 100 marker genes,TEGLU7,690,95,56,39,58.95
top 100 marker genes,HBSER5,21,95,83,12,87.37
top 100 marker genes,SCGLU7,47,94,68,26,72.34
top 100 marker genes,CBGRC,27,99,75,24,75.76
top 100 marker genes,DEINH3,26,89,83,6,93.26
top 100 marker genes,DEINH5,8,96,94,2,97.92
top 100 marker genes,ACNT2,1257,91,48,43,52.75
top 100 marker genes,MEINH14,16,96,89,7,92.71
top 100 marker genes,MGL3,952,90,2,88,2.22
top 100 marker genes,PVM1,478,95,12,83,12.63
top 100 marker genes,SATG1,126,93,54,39,58.06
top 100 marker genes,TEINH18,104,92,81,11,88.04
top 100 marker genes,HBINH2,73,91,71,20,78.02
top 100 marker genes,MEINH9,16,94,85,9,90.43
top 100 marker genes,ENTG4,188,98,27,71,27.55
top 100 marker genes,HYPEP4,14,93,90,3,96.77
top 100 marker genes,TEINH5,33,92,79,13,85.87
top 100 marker genes,TEINH10,139,95,68,27,71.58
top 100 marker genes,MEINH5,18,92,87,5,94.57
top 100 marker genes,MEGLU11,17,92,86,6,93.48
top 100 marker genes,TEINH4,102,94,65,29,69.15
top 100 marker genes,SCGLU8,25,95,75,20,78.95
top 100 marker genes,PSPEP1,7,91,87,4,95.6
top 100 marker genes,HBCHO2,45,90,76,14,84.44
top 100 marker genes,PSNP6,95,93,27,66,29.03
top 100 marker genes,SATG2,413,96,33,63,34.38
top 100 marker genes,MEGLU3,20,93,84,9,90.32
top 100 marker genes,SCHW,328,96,37,59,38.54
top 100 marker genes,ENTG2,122,96,27,69,28.12
top 100 marker genes,OBINH4,42,93,82,11,88.17
top 100 marker genes,RGSZ,500,88,40,48,45.45
top 100 marker genes,SCINH8,27,94,85,9,90.43
top 100 marker genes,PSPEP5,11,90,82,8,91.11
top 100 marker genes,TEGLU17,222,95,63,32,66.32
top 100 marker genes,ENT2,36,90,82,8,91.11
top 100 marker genes,HYPEP6,47,87,77,10,88.51
top 100 marker genes,PSNP5,14,94,55,39,58.51
top 100 marker genes,HYPEP2,12,91,83,8,91.21
top 100 marker genes,SYCHO2,33,91,80,11,87.91
top 100 marker genes,OBNBL4,14,94,81,13,86.17
top 100 marker genes,ENT1,21,95,80,15,84.21
top 100 marker genes,HBGLU8,148,94,50,44,53.19
top 100 marker genes,MBDOP1,18,92,87,5,94.57
top 100 marker genes,HBINH1,223,96,21,75,21.88
top 100 marker genes,MSN2,376,95,49,46,51.58
top 100 marker genes,MSN5,71,93,78,15,83.87
top 100 marker genes,HBSER3,18,89,86,3,96.63
top 100 marker genes,OBINH3,41,93,70,23,75.27
top 100 marker genes,PVM2,320,96,27,69,28.12
top 100 marker genes,TEINH15,187,95,71,24,74.74
top 100 marker genes,PSNP2,27,92,57,35,61.96
top 100 marker genes,DEGLU2,52,91,81,10,89.01
top 100 marker genes,OBDOP1,47,91,76,15,83.52
top 100 marker genes,TEINH20,30,96,89,7,92.71
top 100 marker genes,OBNBL1,56,87,76,11,87.36
top 100 marker genes,TEGLU14,93,96,67,29,69.79
top 100 marker genes,MEINH7,26,93,83,10,89.25
top 100 marker genes,ACNT1,2407,93,23,70,24.73
top 100 marker genes,ENT7,13,98,98,0,100.0
top 100 marker genes,MEINH2,45,84,80,4,95.24
top 100 marker genes,HBGLU10,32,96,84,12,87.5
top 100 marker genes,MGL2,1175,94,3,91,3.19
top 100 marker genes,MEINH1,55,95,60,35,63.16
top 100 marker genes,MOL3,288,90,31,59,34.44
top 100 marker genes,DGGRC1,307,91,63,28,69.23
top 100 marker genes,TEINH1,9,88,86,2,97.73
top 100 marker genes,MEINH10,46,89,73,16,82.02
top 100 marker genes,ENT9,48,96,62,34,64.58
top 100 marker genes,TEINH19,321,97,51,46,52.58
top 100 marker genes,SCGLU9,61,94,75,19,79.79
