Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,MEGLU11,131,92,75,17,81.52
top 100 marker genes,PSPEP1,25,91,84,7,92.31
top 100 marker genes,SCGLU10,30,93,84,9,90.32
top 100 marker genes,TEGLU13,45,98,86,12,87.76
top 100 marker genes,CBNBL1,16,94,89,5,94.68
top 100 marker genes,HBGLU5,418,88,49,39,55.68
top 100 marker genes,SCGLU7,13,94,87,7,92.55
top 100 marker genes,TEINH6,13,93,91,2,97.85
top 100 marker genes,ACTE1,1028,91,50,41,54.95
top 100 marker genes,SYNOR3,13,94,88,6,93.62
top 100 marker genes,DGGRC1,66,91,79,12,86.81
top 100 marker genes,MEGLU1,138,90,73,17,81.11
top 100 marker genes,ACNT1,1268,93,62,31,66.67
top 100 marker genes,PSNP4,8,93,91,2,97.85
top 100 marker genes,DEGLU3,376,85,35,50,41.18
top 100 marker genes,SCINH3,37,98,91,7,92.86
top 100 marker genes,TEGLU21,53,99,74,25,74.75
top 100 marker genes,OBINH2,24,92,65,27,70.65
top 100 marker genes,HBSER5,18,95,90,5,94.74
top 100 marker genes,HBSER4,27,98,83,15,84.69
top 100 marker genes,VECA,11,90,88,2,97.78
top 100 marker genes,HBINH1,25,96,84,12,87.5
top 100 marker genes,MBCHO1,10,97,93,4,95.88
top 100 marker genes,PER3,6,93,92,1,98.92
top 100 marker genes,SCINH4,9,96,91,5,94.79
top 100 marker genes,OBINH4,11,93,91,2,97.85
top 100 marker genes,CR,8,95,94,1,98.95
top 100 marker genes,DEGLU1,165,96,52,44,54.17
top 100 marker genes,TEGLU2,313,92,54,38,58.7
top 100 marker genes,HBCHO4,12,93,91,2,97.85
top 100 marker genes,TEGLU4,1976,90,34,56,37.78
top 100 marker genes,TEINH20,20,96,90,6,93.75
top 100 marker genes,MEINH11,31,97,88,9,90.72
top 100 marker genes,HBNOR,6,94,93,1,98.94
top 100 marker genes,MEGLU14,36,96,89,7,92.71
top 100 marker genes,OBDOP1,43,91,82,9,90.11
top 100 marker genes,VSMCA,28,94,61,33,64.89
top 100 marker genes,SCGLU5,80,94,76,18,80.85
top 100 marker genes,HBGLU2,617,97,41,56,42.27
top 100 marker genes,TEGLU10,322,96,66,30,68.75
top 100 marker genes,MEGLU8,708,93,34,59,36.56
top 100 marker genes,SZNBL,13,91,74,17,81.32
top 100 marker genes,COP2,64,92,70,22,76.09
top 100 marker genes,VLMC2,1202,90,42,48,46.67
top 100 marker genes,HBADR,11,91,88,3,96.7
top 100 marker genes,MEINH1,22,95,90,5,94.74
top 100 marker genes,SCINH11,16,96,91,5,94.79
top 100 marker genes,TEINH15,251,95,63,32,66.32
top 100 marker genes,OEC,87,97,52,45,53.61
top 100 marker genes,OBNBL1,56,87,77,10,88.51
top 100 marker genes,SCGLU6,41,93,80,13,86.02
top 100 marker genes,ACOB,161,94,64,30,68.09
top 100 marker genes,MEINH9,73,94,77,17,81.91
top 100 marker genes,TEGLU20,299,92,52,40,56.52
top 100 marker genes,TEGLU16,86,91,67,24,73.63
top 100 marker genes,MFOL2,104,93,48,45,51.61
top 100 marker genes,SCINH7,12,86,84,2,97.67
top 100 marker genes,SCINH2,389,97,49,48,50.52
top 100 marker genes,HBGLU7,283,96,66,30,68.75
top 100 marker genes,PSNF2,53,95,87,8,91.58
top 100 marker genes,HBSER2,17,88,87,1,98.86
top 100 marker genes,PSNP6,10,93,76,17,81.72
top 100 marker genes,TEGLU14,36,96,84,12,87.5
top 100 marker genes,TEINH4,337,94,51,43,54.26
top 100 marker genes,TEGLU18,567,88,43,45,48.86
top 100 marker genes,MEINH13,80,93,79,14,84.95
top 100 marker genes,TEINH19,276,97,67,30,69.07
top 100 marker genes,PSPEP8,49,91,76,15,83.52
top 100 marker genes,TEGLU5,44,94,81,13,86.17
top 100 marker genes,TEINH8,32,91,86,5,94.51
top 100 marker genes,PSPEP2,42,93,72,21,77.42
top 100 marker genes,SCINH10,91,97,72,25,74.23
top 100 marker genes,MBDOP2,228,92,56,36,60.87
top 100 marker genes,MEGLU7,170,94,74,20,78.72
top 100 marker genes,PSNF1,8,93,91,2,97.85
top 100 marker genes,MEGLU10,59,90,81,9,90.0
top 100 marker genes,HBGLU1,94,95,78,17,82.11
top 100 marker genes,COP1,32,99,64,35,64.65
top 100 marker genes,MEINH4,140,93,69,24,74.19
top 100 marker genes,DEGLU5,522,91,50,41,54.95
top 100 marker genes,OBINH3,14,93,92,1,98.92
top 100 marker genes,SCGLU8,22,95,81,14,85.26
top 100 marker genes,MEINH5,879,92,31,61,33.7
top 100 marker genes,RGSZ,215,88,62,26,70.45
top 100 marker genes,VLMC1,17,94,89,5,94.68
top 100 marker genes,OBNBL5,19,95,90,5,94.74
top 100 marker genes,PER2,6,90,89,1,98.89
top 100 marker genes,MFOL1,38,96,73,23,76.04
top 100 marker genes,TEINH11,22,95,94,1,98.95
top 100 marker genes,MEINH6,53,95,83,12,87.37
top 100 marker genes,PSPEP5,17,90,88,2,97.78
top 100 marker genes,TEINH1,119,88,69,19,78.41
top 100 marker genes,ENT1,7,95,92,3,96.84
top 100 marker genes,TEINH3,22,97,92,5,94.85
top 100 marker genes,HYPEP3,36,93,86,7,92.47
top 100 marker genes,HBGLU9,626,96,47,49,48.96
top 100 marker genes,HBINH6,243,93,64,29,68.82
top 100 marker genes,VECC,7,93,70,23,75.27
top 100 marker genes,MEGLU5,106,95,73,22,76.84
top 100 marker genes,MEGLU2,69,88,81,7,92.05
top 100 marker genes,OBINH5,44,90,77,13,85.56
top 100 marker genes,HBCHO1,15,95,91,4,95.79
top 100 marker genes,TEGLU1,876,96,39,57,40.62
top 100 marker genes,HBGLU8,75,94,78,16,82.98
top 100 marker genes,TEINH13,21,97,86,11,88.66
top 100 marker genes,CBINH1,14,91,91,0,100.0
top 100 marker genes,MEGLU9,56,94,72,22,76.6
top 100 marker genes,MEINH10,55,89,68,21,76.4
top 100 marker genes,HBCHO3,29,89,86,3,96.63
top 100 marker genes,EPEN,44,91,81,10,89.01
top 100 marker genes,TEINH9,58,97,85,12,87.63
top 100 marker genes,TEGLU22,41,91,82,9,90.11
top 100 marker genes,PER1,7,92,80,12,86.96
top 100 marker genes,MEGLU4,98,93,78,15,83.87
top 100 marker genes,MEINH12,8,95,94,1,98.95
top 100 marker genes,SCINH5,19,94,92,2,97.87
top 100 marker genes,CBINH2,26,93,88,5,94.62
top 100 marker genes,OBNBL2,17,91,85,6,93.41
top 100 marker genes,TEGLU24,1640,93,49,44,52.69
top 100 marker genes,DECHO2,22,93,90,3,96.77
top 100 marker genes,TEINH18,126,92,76,16,82.61
top 100 marker genes,DEINH1,282,92,59,33,64.13
top 100 marker genes,TEINH12,12,96,92,4,95.83
top 100 marker genes,MEINH8,136,94,72,22,76.6
top 100 marker genes,HBGLU10,168,96,72,24,75.0
top 100 marker genes,HBINH4,449,94,50,44,53.19
top 100 marker genes,DEINH6,7,93,87,6,93.55
top 100 marker genes,ENT9,9,96,90,6,93.75
top 100 marker genes,HBINH2,100,91,79,12,86.81
top 100 marker genes,SCGLU1,74,96,85,11,88.54
top 100 marker genes,HBCHO2,144,90,66,24,73.33
top 100 marker genes,TEGLU3,807,96,48,48,50.0
top 100 marker genes,ACNT2,1121,91,70,21,76.92
top 100 marker genes,MSN1,21,92,86,6,93.48
top 100 marker genes,TEINH14,310,97,50,47,51.55
top 100 marker genes,MOL1,1340,99,58,41,58.59
top 100 marker genes,DGGRC2,1881,96,73,23,76.04
top 100 marker genes,MSN4,20,97,85,12,87.63
top 100 marker genes,TEGLU23,571,91,55,36,60.44
top 100 marker genes,TEGLU17,645,95,58,37,61.05
top 100 marker genes,CBPC,9,90,89,1,98.89
top 100 marker genes,HBINH7,81,85,75,10,88.24
top 100 marker genes,TEGLU7,2671,95,46,49,48.42
top 100 marker genes,DEINH3,448,89,54,35,60.67
top 100 marker genes,CBNBL2,10,92,89,3,96.74
top 100 marker genes,EPMB,6,92,92,0,100.0
top 100 marker genes,ACMB,148,93,59,34,63.44
top 100 marker genes,SCGLU2,200,94,71,23,75.53
top 100 marker genes,NFOL2,15,93,92,1,98.92
top 100 marker genes,SCGLU4,40,97,86,11,88.66
top 100 marker genes,TEGLU9,296,97,53,44,54.64
top 100 marker genes,ENT8,7,97,93,4,95.88
top 100 marker genes,TEGLU11,935,92,49,43,53.26
top 100 marker genes,TEGLU19,585,89,35,54,39.33
top 100 marker genes,MEGLU3,174,93,67,26,72.04
top 100 marker genes,TEGLU6,600,93,60,33,64.52
top 100 marker genes,TEINH7,8,89,87,2,97.75
top 100 marker genes,HBINH5,2022,91,34,57,37.36
top 100 marker genes,DEINH5,10,96,93,3,96.88
top 100 marker genes,MSN5,16,93,89,4,95.7
top 100 marker genes,MOL2,309,93,45,48,48.39
top 100 marker genes,MOL3,18,90,74,16,82.22
top 100 marker genes,MEGLU6,64,98,86,12,87.76
