Retention type,Cell type,Number of cells,Number of SC marker genes,Number of ST marker genes,Number of ST lost genes,Retention percentage
top 100 marker genes,ACTE1,247,96,66,30,68.75
top 100 marker genes,DETPH,172,94,48,46,51.06
top 100 marker genes,PSNP3,32,95,76,19,80.0
top 100 marker genes,MEINH10,123,94,57,37,60.64
top 100 marker genes,ACMB,155,92,50,42,54.35
top 100 marker genes,DEINH6,79,95,54,41,56.84
top 100 marker genes,TEGLU24,148,97,49,48,50.52
top 100 marker genes,TEGLU19,236,96,36,60,37.5
top 100 marker genes,HBINH4,285,96,39,57,40.62
top 100 marker genes,MEGLU3,241,97,34,63,35.05
top 100 marker genes,PSPEP2,263,93,34,59,36.56
top 100 marker genes,SYNOR3,17,97,82,15,84.54
top 100 marker genes,CBGRC,39,100,65,35,65.0
top 100 marker genes,SCINH7,204,91,34,57,37.36
top 100 marker genes,ACNT2,278,96,52,44,54.17
top 100 marker genes,SYNOR4,108,92,65,27,70.65
top 100 marker genes,HBNOR,89,96,59,37,61.46
top 100 marker genes,HYPEP6,58,90,66,24,73.33
top 100 marker genes,TEINH7,187,91,37,54,40.66
top 100 marker genes,HBINH8,101,97,47,50,48.45
top 100 marker genes,TEGLU9,331,95,18,77,18.95
top 100 marker genes,MEGLU14,217,97,47,50,48.45
top 100 marker genes,ACOB,336,95,59,36,62.11
top 100 marker genes,CBNBL1,258,92,34,58,36.96
top 100 marker genes,HYPEP3,327,97,47,50,48.45
top 100 marker genes,TEGLU17,316,94,37,57,39.36
top 100 marker genes,MEGLU5,350,98,37,61,37.76
top 100 marker genes,MOL2,12,97,81,16,83.51
top 100 marker genes,VLMC2,101,93,64,29,68.82
top 100 marker genes,MEINH7,191,94,34,60,36.17
top 100 marker genes,PSPEP8,119,95,51,44,53.68
top 100 marker genes,SYNOR5,29,92,77,15,83.7
top 100 marker genes,TEGLU6,581,90,49,41,54.44
top 100 marker genes,ENTG1,580,98,48,50,48.98
top 100 marker genes,SCGLU4,192,97,38,59,39.18
top 100 marker genes,CR,299,99,34,65,34.34
top 100 marker genes,TEGLU15,307,93,34,59,36.56
top 100 marker genes,ENT8,195,96,39,57,40.62
top 100 marker genes,HBCHO4,138,95,55,40,57.89
top 100 marker genes,MEINH2,260,92,57,35,61.96
top 100 marker genes,TEINH6,369,97,42,55,43.3
top 100 marker genes,OBINH2,231,91,52,39,57.14
top 100 marker genes,COP1,236,97,38,59,39.18
top 100 marker genes,TEGLU21,249,98,30,68,30.61
top 100 marker genes,HBGLU1,193,97,54,43,55.67
top 100 marker genes,DGGRC1,458,98,56,42,57.14
top 100 marker genes,TEGLU3,56,98,60,38,61.22
top 100 marker genes,ENTG4,15,99,79,20,79.8
top 100 marker genes,ENT1,98,94,55,39,58.51
top 100 marker genes,MEINH3,371,91,43,48,47.25
top 100 marker genes,MSN5,407,97,38,59,39.18
top 100 marker genes,HBINH2,115,95,42,53,44.21
top 100 marker genes,OBNBL2,348,96,43,53,44.79
top 100 marker genes,PSPEP1,216,89,35,54,39.33
top 100 marker genes,PSNF1,140,96,40,56,41.67
top 100 marker genes,MFOL1,80,99,57,42,57.58
top 100 marker genes,ENTG2,118,98,54,44,55.1
top 100 marker genes,OBINH1,494,94,38,56,40.43
top 100 marker genes,TEINH19,116,98,48,50,48.98
top 100 marker genes,VECV,122,95,53,42,55.79
top 100 marker genes,TECHO,189,96,48,48,50.0
top 100 marker genes,SCHW,211,97,34,63,35.05
top 100 marker genes,TEGLU13,252,97,26,71,26.8
top 100 marker genes,MGL1,114,99,44,55,44.44
top 100 marker genes,TEINH20,301,96,32,64,33.33
top 100 marker genes,MEGLU2,328,90,48,42,53.33
top 100 marker genes,TEGLU7,52,96,61,35,63.54
top 100 marker genes,HBINH5,128,95,62,33,65.26
top 100 marker genes,MFOL2,170,98,43,55,43.88
top 100 marker genes,OBNBL1,231,90,46,44,51.11
top 100 marker genes,HBINH9,259,97,38,59,39.18
top 100 marker genes,DEINH2,315,94,43,51,45.74
top 100 marker genes,CBNBL2,210,93,46,47,49.46
top 100 marker genes,OBDOP1,185,91,57,34,62.64
top 100 marker genes,TEINH16,470,98,42,56,42.86
top 100 marker genes,CBINH2,83,94,59,35,62.77
top 100 marker genes,OBINH3,535,95,54,41,56.84
top 100 marker genes,DEINH1,394,95,43,52,45.26
top 100 marker genes,ENT3,255,94,44,50,46.81
top 100 marker genes,ENTG6,298,95,51,44,53.68
top 100 marker genes,MGL2,125,98,48,50,48.98
top 100 marker genes,NFOL1,139,95,56,39,58.95
top 100 marker genes,SEPNBL,393,95,30,65,31.58
top 100 marker genes,VLMC1,89,95,67,28,70.53
top 100 marker genes,HBGLU7,297,96,44,52,45.83
top 100 marker genes,ACBG,319,97,46,51,47.42
top 100 marker genes,DEGLU4,231,90,49,41,54.44
